#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mortality rate neonatal per 1000 live births,0.08849,True,0.04996,True,Decision
2,number of maternal deaths,0.08167,True,0.04388,True,Decision
3,number of under-five deaths,0.0801,True,0.04393,True,Decision
4,number of infant deaths,0.07741,True,0.04359,True,Decision
5,number of neonatal deaths,0.07589,True,0.04438,True,Decision
7,immunization measles pct of children ages 12-23 months,-0.06344,True,-0.04407,True,Decision
8,immunization dpt pct of children ages 12-23 months,-0.06063,True,-0.04383,True,Decision
9,labor force female pct of total labor force,-0.0605,True,-0.03997,True,Decision
10,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.05944,True,-0.04463,True,Decision
11,mortality rate infant per 1000 live births,0.05882,True,0.0437,True,Decision
12,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.05846,True,-0.03962,True,Decision
13,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.05548,True,-0.04284,True,Decision
14,contributing family workers female pct of female employment modeled ilo estimate,0.05402,True,0.03917,True,Decision
15,contributing family workers male pct of male employment modeled ilo estimate,0.05374,True,0.04181,True,Decision
16,employment to population ratio 15+ female pct modeled ilo estimate,-0.0518,True,-0.04135,True,Decision
17,fertility rate total births per woman,0.05007,True,0.03962,True,Decision
18,mortality rate under-5 per 1000 live births,0.04936,True,0.04148,True,Decision
19,lifetime risk of maternal death pct,0.04905,True,0.04043,True,Decision
20,employment in agriculture female pct of female employment modeled ilo estimate,0.04885,True,0.04094,True,Decision
21,employment in services female pct of female employment modeled ilo estimate,-0.04685,True,-0.04103,True,Decision
22,mobile cellular subscriptions per 100 people,-0.04669,True,-0.04444,True,Decision
23,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.04476,True,-0.04053,True,Decision
24,population ages 0-4 female pct of female population,0.04407,True,0.0389,True,Decision
25,age dependency ratio young pct of working-age population,0.04403,True,0.03784,True,Decision
26,vulnerable employment male pct of male employment modeled ilo estimate,0.04402,True,0.03827,True,Decision
27,birth rate crude per 1000 people,0.04397,True,0.03873,True,Decision
28,population ages 15-64 female pct of total,-0.04393,True,-0.03787,True,Decision
29,maternal mortality ratio modeled estimate per 100000 live births,0.04355,True,0.04004,True,Decision
30,population ages 0-14 female pct of total,0.04341,True,0.03847,True,Decision
31,age dependency ratio pct of working-age population,0.04337,True,0.03736,True,Decision
32,population ages 5-9 female pct of female population,0.0431,True,0.03793,True,Decision
33,population ages 0-14 pct of total,0.0424,True,0.03793,True,Decision
34,population ages 0-4 male pct of male population,0.04224,True,0.03817,True,Decision
36,population ages 15-64 pct of total,-0.04205,True,-0.03736,True,Decision
37,life expectancy at birth female years,-0.04186,True,-0.03744,True,Decision
38,self-employed male pct of male employment modeled ilo estimate,0.04173,True,0.03786,True,Decision
39,wage and salaried workers male pct of male employment modeled ilo estimate,-0.04173,True,-0.03786,True,Decision
40,rural population pct of total population,0.04102,True,0.03923,True,Decision
41,urban population pct of total,-0.04102,True,-0.03923,True,Decision
42,population ages 0-14 male pct of total,0.04083,True,0.03723,True,Decision
43,population ages 10-14 female pct of female population,0.04039,True,0.04099,True,Decision
44,population ages 15-64 male pct of total,-0.04038,True,-0.03681,True,Decision
45,population ages 5-9 male pct of male population,0.04015,True,0.0363,True,Decision
46,employment in agriculture pct of total employment modeled ilo estimate,0.03991,True,0.03716,True,Decision
47,vulnerable employment total pct of total employment modeled ilo estimate,0.03988,True,0.03616,True,Decision
48,contributing family workers total pct of total employment modeled ilo estimate,0.03965,True,0.03677,True,Decision
49,life expectancy at birth total years,-0.03958,True,-0.03684,True,Decision
50,survival to age 65 female pct of cohort,-0.03948,True,-0.03662,True,Decision
51,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03944,True,0.03687,True,Decision
52,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03943,True,0.03676,True,Decision
53,employment in agriculture male pct of male employment modeled ilo estimate,0.03905,True,0.03566,True,Decision
54,population ages 45-49 female pct of female population,-0.03893,True,-0.03727,True,Decision
55,employment in industry male pct of male employment modeled ilo estimate,-0.03869,True,-0.03692,True,Decision
56,population ages 45-49 male pct of male population,-0.03832,True,-0.0364,True,Decision
57,wage and salaried workers total pct of total employment modeled ilo estimate,-0.03815,True,-0.03479,True,Decision
58,self-employed total pct of total employment modeled ilo estimate,0.03815,True,0.03479,True,Decision
59,population ages 40-44 female pct of female population,-0.0372,True,-0.03669,True,Decision
60,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.03712,True,-0.03821,True,Decision
61,employment in services pct of total employment modeled ilo estimate,-0.03696,True,-0.03614,True,Decision
62,population ages 10-14 male pct of male population,0.03691,True,0.03659,True,Decision
64,life expectancy at birth male years,-0.03659,True,-0.03633,True,Decision
65,population ages 50-54 male pct of male population,-0.03648,True,-0.03571,True,Decision
66,population ages 50-54 female pct of female population,-0.03591,True,-0.03566,True,Decision
67,prevalence of anemia among children pct of children under 5,0.03588,True,0.03487,True,Decision
69,forest area pct of land area,-0.0358,True,-0.03638,True,Decision
73,access to electricity pct of population,-0.03517,True,-0.03499,True,Decision
74,employers male pct of male employment modeled ilo estimate,-0.03507,True,-0.04457,True,Decision
75,rural population growth annual pct,0.03503,True,0.03598,True,Decision
76,population ages 35-39 female pct of female population,-0.03498,True,-0.0371,True,Decision
77,population ages 40-44 male pct of male population,-0.03433,True,-0.03522,True,Decision
78,employers female pct of female employment modeled ilo estimate,-0.03373,False,-0.04336,True,Decision
79,employment in services male pct of male employment modeled ilo estimate,-0.03307,False,-0.03403,True,Decision
80,survival to age 65 male pct of cohort,-0.03283,False,-0.03436,True,Decision
81,population ages 15-19 female pct of female population,0.03279,False,0.03691,True,Decision
82,employers total pct of total employment modeled ilo estimate,-0.03251,False,-0.04333,True,Decision
83,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.03202,False,-0.03606,True,Decision
89,population ages 35-39 male pct of male population,-0.03019,False,-0.03632,True,Decision
91,population ages 70-74 female pct of female population,-0.03007,False,-0.03622,True,Decision
93,population ages 75-79 female pct of female population,-0.02995,False,-0.03747,True,Decision
94,population ages 65 and above female pct of total,-0.02991,False,-0.03653,True,Decision
96,mortality rate adult female per 1000 female adults,0.02966,False,0.03479,True,Decision
97,population ages 65 and above pct of total,-0.02905,False,-0.03507,True,Decision
101,population ages 80 and above female pct of female population,-0.02814,False,-0.03912,True,Decision
114,co2 emissions metric tons per capita,-0.02578,False,-0.03734,True,Decision
118,crop production index 2004-2006 = 100,-0.0252,False,-0.03679,True,Decision
121,food production index 2004-2006 = 100,-0.02416,False,-0.03566,True,Decision
127,lifetime risk of maternal death 1 in  rate varies by country,-0.02186,False,-0.04041,True,Decision
141,population male pct of total,0.01273,False,0.04292,True,Decision
142,population female pct of total,-0.01273,False,-0.04292,True,Decision
6,refugee population by country or territory of origin,0.07522,True,0.03134,False,Decision
35,arable land pct of land area,0.04214,True,0.03008,False,Decision
63,vulnerable employment female pct of female employment modeled ilo estimate,0.03671,True,0.03291,False,Decision
68,urban population growth annual pct,0.03583,True,0.0324,False,Decision
70,wage and salaried workers female pct of female employment modeled ilo estimate,-0.03565,True,-0.03232,False,Decision
71,self-employed female pct of female employment modeled ilo estimate,0.03565,True,0.03232,False,Decision
72,population growth annual pct,0.03558,True,0.03394,False,Decision
84,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.03153,False,-0.03338,False,Decision
85,co2 emissions from gaseous fuel consumption pct of total,0.0311,False,0.02907,False,Decision
86,population ages 55-59 male pct of male population,-0.03072,False,-0.03179,False,Decision
87,population ages 55-59 female pct of female population,-0.0307,False,-0.03094,False,Decision
88,employment in industry pct of total employment modeled ilo estimate,-0.03028,False,-0.02846,False,Decision
90,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.0301,False,0.03034,False,Decision
92,population ages 15-19 male pct of male population,0.03005,False,0.03362,False,Decision
95,population ages 65-69 female pct of female population,-0.02983,False,-0.03324,False,Decision
98,population ages 60-64 female pct of female population,-0.02889,False,-0.03045,False,Decision
99,adolescent fertility rate births per 1000 women ages 15-19,0.02842,False,0.02789,False,Decision
100,gdp per person employed constant 2011 ppp  ,-0.02818,False,-0.0333,False,Decision
102,population ages 70-74 male pct of male population,-0.02777,False,-0.03298,False,Decision
103,population ages 65 and above male pct of total,-0.0277,False,-0.03256,False,Decision
104,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.02735,False,0.03072,False,Decision
105,population ages 75-79 male pct of male population,-0.02722,False,-0.03301,False,Decision
106,population ages 65-69 male pct of male population,-0.02722,False,-0.03025,False,Decision
107,population ages 60-64 male pct of male population,-0.02703,False,-0.02931,False,Decision
108,employment to population ratio 15+ total pct modeled ilo estimate,-0.02698,False,-0.03173,False,Decision
109,agricultural land pct of land area,0.02693,False,0.0287,False,Decision
110,individuals using the internet pct of population,-0.02681,False,-0.02835,False,Decision
111,age dependency ratio old pct of working-age population,-0.02676,False,-0.03228,False,Decision
112,population ages 80 and above male pct of male population,-0.02658,False,-0.03264,False,Decision
113,population ages 0-14 female,0.02636,False,0.03052,False,Decision
115,renewable energy consumption pct of total final energy consumption,0.02576,False,0.03028,False,Decision
116,population ages 0-14 total,0.02565,False,0.0305,False,Decision
117,population ages 30-34 female pct of female population,-0.02538,False,-0.03029,False,Decision
119,population ages 0-14 male,0.02501,False,0.03078,False,Decision
120,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.02485,False,0.02793,False,Decision
