#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,access to electricity pct of population,0.39168,True,0.31791,True,Decision
2,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.37977,True,-0.34769,True,Decision
3,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.37709,True,-0.3463,True,Decision
4,prevalence of anemia among children pct of children under 5,-0.36768,True,-0.32363,True,Decision
5,access to electricity urban pct of urban population,0.36708,True,0.3275,True,Decision
6,life expectancy at birth female years,0.36366,True,0.32306,True,Decision
7,population ages 5-9 female pct of female population,-0.36138,True,-0.34068,True,Decision
8,population ages 0-4 female pct of female population,-0.35905,True,-0.3087,True,Decision
9,fertility rate total births per woman,-0.35845,True,-0.26791,True,Decision
10,total natural resources rents pct of gdp,-0.35807,True,-0.28741,True,Decision
11,mortality rate under-5 per 1000 live births,-0.35758,True,-0.33072,True,Decision
12,mortality rate infant per 1000 live births,-0.35536,True,-0.32816,True,Decision
13,population ages 0-14 female pct of total,-0.35452,True,-0.32996,True,Decision
14,survival to age 65 female pct of cohort,0.35381,True,0.3023,True,Decision
15,population ages 55-59 female pct of female population,0.35301,True,0.36639,True,Decision
16,life expectancy at birth total years,0.35197,True,0.3073,True,Decision
17,age dependency ratio young pct of working-age population,-0.34655,True,-0.29097,True,Decision
18,mortality rate adult female per 1000 female adults,-0.34604,True,-0.30645,True,Decision
19,access to electricity rural pct of rural population,0.34542,True,0.31192,True,Decision
20,maternal mortality ratio modeled estimate per 100000 live births,-0.34309,True,-0.32906,True,Decision
21,birth rate crude per 1000 people,-0.34098,True,-0.25996,True,Decision
22,lifetime risk of maternal death pct,-0.34043,True,-0.33215,True,Decision
23,immunization dpt pct of children ages 12-23 months,0.33615,True,0.27542,True,Decision
24,population ages 60-64 female pct of female population,0.33561,True,0.3509,True,Decision
25,immunization measles pct of children ages 12-23 months,0.33557,True,0.29157,True,Decision
26,mortality rate neonatal per 1000 live births,-0.33512,True,-0.32015,True,Decision
27,population ages 50-54 female pct of female population,0.33394,True,0.33871,True,Decision
28,life expectancy at birth male years,0.33346,True,0.2909,True,Decision
29,population ages 0-14 pct of total,-0.32929,True,-0.29391,True,Decision
30,population ages 15-64 female pct of total,0.32672,True,0.26251,True,Decision
31,population ages 45-49 female pct of female population,0.3237,True,0.31428,True,Decision
32,population ages 0-4 male pct of male population,-0.32234,True,-0.2587,True,Decision
33,population ages 55-59 male pct of male population,0.32105,True,0.32935,True,Decision
34,population ages 10-14 female pct of female population,-0.31914,True,-0.31996,True,Decision
35,population ages 60-64 male pct of male population,0.31901,True,0.33327,True,Decision
36,age dependency ratio pct of working-age population,-0.31901,True,-0.23541,True,Decision
37,population ages 5-9 male pct of male population,-0.31653,True,-0.29442,True,Decision
38,population ages 0-14 male pct of total,-0.31011,True,-0.28427,True,Decision
39,adolescent fertility rate births per 1000 women ages 15-19,-0.30842,True,-0.21833,True,Decision
40,survival to age 65 male pct of cohort,0.29573,True,0.26956,True,Decision
41,mobile cellular subscriptions per 100 people,0.29238,True,0.30866,True,Decision
42,population ages 80 and above male pct of male population,0.28846,True,0.34661,True,Decision
43,population ages 15-64 pct of total,0.28529,True,0.23474,True,Decision
44,population ages 50-54 male pct of male population,0.2834,True,0.28358,True,Decision
45,renewable energy consumption pct of total final energy consumption,-0.28257,True,-0.2044,True,Decision
46,population ages 65 and above male pct of total,0.28159,True,0.32951,True,Decision
47,population ages 65 and above pct of total,0.2805,True,0.33105,True,Decision
48,oil rents pct of gdp,-0.2805,True,-0.07347,True,Decision
49,population ages 65 and above female pct of total,0.27774,True,0.33102,True,Decision
50,population ages 70-74 male pct of male population,0.2777,True,0.32283,True,Decision
51,population ages 75-79 male pct of male population,0.27666,True,0.33268,True,Decision
52,population ages 65-69 female pct of female population,0.27612,True,0.32052,True,Decision
53,population ages 70-74 female pct of female population,0.2745,True,0.32018,True,Decision
54,mortality rate adult male per 1000 male adults,-0.27408,True,-0.25924,True,Decision
55,population ages 80 and above female pct of female population,0.27169,True,0.34526,True,Decision
56,population ages 75-79 female pct of female population,0.26756,True,0.32905,True,Decision
57,age dependency ratio old pct of working-age population,0.26629,True,0.32776,True,Decision
58,population ages 65-69 male pct of male population,0.26563,True,0.31113,True,Decision
59,population ages 15-64 male pct of total,0.26488,True,0.22042,True,Decision
60,population ages 10-14 male pct of male population,-0.26302,True,-0.2767,True,Decision
61,population ages 45-49 male pct of male population,0.26199,True,0.24327,True,Decision
62,employment in industry male pct of male employment modeled ilo estimate,0.25817,True,0.24899,True,Decision
63,forest rents pct of gdp,-0.24952,True,-0.1896,True,Decision
64,employment in agriculture pct of total employment modeled ilo estimate,-0.2441,True,-0.1955,True,Decision
65,individuals using the internet pct of population,0.24379,True,0.28706,True,Decision
66,vulnerable employment total pct of total employment modeled ilo estimate,-0.24153,True,-0.16784,True,Decision
67,urban population growth annual pct,-0.24007,True,-0.27623,True,Decision
68,employers male pct of male employment modeled ilo estimate,0.23985,True,0.2634,True,Decision
69,employment in agriculture female pct of female employment modeled ilo estimate,-0.23568,True,-0.15323,True,Decision
70,vulnerable employment female pct of female employment modeled ilo estimate,-0.23503,True,-0.16825,True,Decision
71,population ages 40-44 female pct of female population,0.23209,True,0.21346,True,Decision
72,wage and salaried workers female pct of female employment modeled ilo estimate,0.23005,True,0.16425,True,Decision
73,self-employed female pct of female employment modeled ilo estimate,-0.23005,True,-0.16425,True,Decision
74,vulnerable employment male pct of male employment modeled ilo estimate,-0.22934,True,-0.16163,True,Decision
75,self-employed total pct of total employment modeled ilo estimate,-0.22882,True,-0.16305,True,Decision
76,wage and salaried workers total pct of total employment modeled ilo estimate,0.22882,True,0.16305,True,Decision
77,employment in agriculture male pct of male employment modeled ilo estimate,-0.22804,True,-0.17811,True,Decision
