#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,number of neonatal deaths,0.05113,True,0.01712,False,Decision
2,number of infant deaths,0.04837,True,0.01699,False,Decision
3,number of under-five deaths,0.04738,True,0.01676,False,Decision
4,number of maternal deaths,0.03945,True,0.01828,False,Decision
5,mobile cellular subscriptions per 100 people,-0.0311,False,-0.02948,False,Decision
6,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03024,False,0.02527,False,Decision
7,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.02982,False,0.02515,False,Decision
8,population ages 0-14 female,0.02978,False,0.0147,False,Decision
9,population ages 0-14 total,0.02958,False,0.01476,False,Decision
10,population ages 0-14 male,0.0294,False,0.01491,False,Decision
11,urban population growth annual pct,0.02869,False,0.02496,False,Decision
12,employment in services female pct of female employment modeled ilo estimate,-0.02747,False,-0.0243,False,Decision
13,food production index 2004-2006 = 100,-0.02703,False,-0.02668,False,Decision
14,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.02601,False,0.02512,False,Decision
15,employment in services pct of total employment modeled ilo estimate,-0.02582,False,-0.02339,False,Decision
16,employment to population ratio 15+ male pct modeled ilo estimate,0.02553,False,0.0262,False,Decision
17,rural population,0.02551,False,0.01701,False,Decision
18,employment in agriculture female pct of female employment modeled ilo estimate,0.02532,False,0.02175,False,Decision
19,urban population pct of total,-0.02511,False,-0.0226,False,Decision
20,rural population pct of total population,0.02511,False,0.0226,False,Decision
21,mortality rate neonatal per 1000 live births,0.02434,False,0.0183,False,Decision
22,crop production index 2004-2006 = 100,-0.02378,False,-0.02575,False,Decision
23,livestock production index 2004-2006 = 100,-0.02363,False,-0.02577,False,Decision
24,employment in agriculture pct of total employment modeled ilo estimate,0.02296,False,0.02035,False,Decision
25,employment in services male pct of male employment modeled ilo estimate,-0.02245,False,-0.02177,False,Decision
26,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.02224,False,0.01982,False,Decision
27,individuals using the internet pct of population,-0.02194,False,-0.02482,False,Decision
28,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.02123,False,0.01751,False,Decision
29,rainfall (mm),0.02098,False,0.02355,False,Decision
30,prevalence of anemia among children pct of children under 5,0.02071,False,0.01937,False,Decision
31,employment in agriculture male pct of male employment modeled ilo estimate,0.02046,False,0.01979,False,Decision
32,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01966,False,0.01955,False,Decision
33,permanent cropland pct of land area,0.01946,False,0.01081,False,Decision
34,land under cereal production hectares,0.01906,False,0.00915,False,Decision
35,vulnerable employment total pct of total employment modeled ilo estimate,0.01871,False,0.01653,False,Decision
36,vulnerable employment male pct of male employment modeled ilo estimate,0.01857,False,0.0175,False,Decision
37,wage and salaried workers female pct of female employment modeled ilo estimate,-0.01839,False,-0.01593,False,Decision
38,self-employed female pct of female employment modeled ilo estimate,0.01839,False,0.01593,False,Decision
39,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01837,False,0.01336,False,Decision
40,vulnerable employment female pct of female employment modeled ilo estimate,0.01833,False,0.01647,False,Decision
41,wage and salaried workers total pct of total employment modeled ilo estimate,-0.0183,False,-0.0166,False,Decision
42,self-employed total pct of total employment modeled ilo estimate,0.0183,False,0.0166,False,Decision
43,population ages 10-14 female pct of female population,0.01807,False,0.01796,False,Decision
44,population ages 80 and above female pct of female population,-0.01802,False,-0.02014,False,Decision
45,population ages 75-79 female pct of female population,-0.01773,False,-0.01751,False,Decision
46,population total,0.0177,False,0.01117,False,Decision
